size,total_sqft,bath,balcony,built_up,carpet,plot,immediate,readymove
4,1200,4,0,0,0,1,0,1
3,1535,3,2,0,0,0,0,1
2,950,2,1,1,0,0,0,1
2,1360,2,1,0,0,0,0,0
2,1073.5,2,0,0,0,0,0,0
3,1280,3,1,0,0,0,0,0
3,1260,2,2,0,0,0,0,0
8,5000,8,1.584375738,1,0,0,0,1
5,3050,5,1,0,0,0,0,0
3,1563.05,3,1,0,0,0,0,1
2,1000,2,1,0,0,0,0,1
2,1167,2,1,0,0,0,0,0
7,4000,7,2,0,0,0,0,1
3,1828,3,1.584375738,0,0,0,0,1
2,890,2,1,0,0,0,0,1
3,1612,3,3,0,0,0,0,1
6,1034,5,1.584375738,0,0,1,0,1
3,1710,4,2,0,0,0,0,0
2,957,2,1,0,0,0,0,1
3,1250,2,3,0,0,0,0,0
3,2795,4,1.584375738,0,0,0,0,1
2,1125,2,2,0,0,0,0,1
2,1020,2,1,0,0,0,0,0
2,1200,2,2,0,0,0,0,1
3,1735,3,3,0,0,0,0,1
3,2050,3,1,0,0,0,0,1
4,3750,4,0,0,0,1,0,1
3,1350,2,3,1,0,0,0,1
2,1063,2,1,0,0,0,0,0
3,1904,3,1,0,0,0,0,1
4,4200,4,2,1,0,0,0,1
3,2000,3,1,0,0,0,0,1
2,1242.5,2,0,0,0,0,0,0
3,1425,2,2,0,0,0,0,1
3,1500,2,1,0,0,0,0,1
2,1060,2,1,1,0,0,0,1
3,1470,2,2,1,0,0,0,1
6,1300,6,0,0,0,0,0,1
1,450,1,1,0,0,0,0,1
2,1152,2,1,0,0,0,0,0
3,1350,2,1,0,0,0,0,1
3,1550,3,3,0,0,0,0,1
3,1500,3,2,0,0,1,0,1
5,600,3,2,0,0,1,0,1
1,400,1,0,0,0,1,0,1
1,705,1,2,0,0,0,0,1
2,770,1,1,1,0,0,0,1
2,1242,2,3,0,0,0,0,1
3,1700,3,2,0,0,0,0,1
3,2144,3,2,0,0,0,0,1
3,1704,3,2,0,0,0,0,0
2,1070,2,1,0,0,0,0,1
3,1846,3,2,0,0,1,0,1
2,1340,2,2,0,0,0,0,1
2,1025,2,1,1,0,0,0,1
2,1277.5,2,0,0,0,0,0,1
2,1200,2,2,0,0,0,0,1
4,2250,4,1,1,0,0,0,0
3,1550,2,3,0,0,0,0,1
4,1200,5,1.584375738,0,0,1,0,1
7,1800,7,1,0,0,1,0,1
2,1200,2,2,0,0,0,0,1
2,1327,2,2,0,0,0,0,1
2,1186,2,2,0,0,0,0,1
3,1783,3,1,1,0,0,0,1
3,1400,3,2,0,0,0,0,1
2,980,2,1,0,0,0,0,1
2,1285,2,2,0,0,0,0,1
3,912,2,1,0,0,0,0,1
2,1225,2,2,1,0,0,0,1
2,1075,2,1,0,0,0,0,1
3,1260,2,2,1,0,0,0,1
3,1282,2,2,0,0,0,0,1
3,1909,3,2,0,0,0,0,1
2,1359,2,1,0,0,0,0,1
2,1207,2,2,1,0,0,0,1
4,1736,6,0,0,0,1,0,1
4,2850,4,1,0,0,0,0,0
3,1595,3,2,0,0,0,0,1
3,1798,3,2,1,0,0,0,0
3,1475,3,2,0,0,0,0,1
3,1580,3,3,0,0,0,0,1
2,1295,2,1,0,0,0,0,1
6,3600,6,0,1,0,0,0,1
1,589,1,1,0,0,0,0,1
3,1415,3,3,0,0,0,0,1
3,1787,3,2,0,0,0,0,0
3,1787,3,2,0,0,0,0,1
3,1475,2,3,0,0,0,0,1
4,2000,4,1,1,0,0,0,1
2,984,2,1,0,0,0,0,0
3,1630,2.692510947,1.584375738,0,0,0,0,0
3,2405,4,2,0,0,0,0,1
2,1080,2,2,1,0,0,0,1
2,1500,2,1,0,0,1,0,1
3,1900,3,2,0,0,0,0,1
2,805,2,1,0,0,0,0,0
2,1153,2,2,0,0,0,0,1
2,1148,2,2,0,0,0,0,1
2,1110,2,2,0,0,0,0,1
2,1100,2,2,1,0,0,0,1
2,1290,2,2,0,0,0,0,1
3,1500,2,1,0,0,0,0,1
2,1080,2,2,0,0,0,0,0
3,1933,3,1,0,0,0,0,0
5,3500,5,2,1,0,0,0,1
2,1060,2,2,1,0,0,0,1
1,645,1,1,0,0,0,0,0
8,2600,8,2,0,0,1,0,1
1,645,1,1,0,0,0,0,0
3,1644,3,3,0,0,0,0,1
2,1285,2,3,0,0,0,0,1
3,1200,3,1,0,0,1,0,1
2,910,2,1,0,0,0,0,1
3,1577,3,1,0,0,0,0,1
3,4050,3,2,0,0,1,0,0
3,2420,3,2,0,0,0,0,1
2,800,1,1,0,0,0,0,1
2,1060,2,2,1,0,0,0,1
2,1270,2,2,0,0,0,0,1
2,900,2,2,0,0,0,0,0
2,1280,2,1,1,0,0,0,1
4,1200,2,0,0,0,1,0,1
2,1025,2,2,1,0,0,0,1
2,1108,2,1,0,0,0,0,0
5,1200,5,1.584375738,0,0,1,0,1
3,3045,3,2,0,0,0,0,1
4,2900,3,2,0,0,1,0,1
3,1500,3,2,0,0,0,0,1
2,1295,2,2,0,0,0,0,1
2,1162,2,1,0,0,0,0,1
2,1035,2,2,0,0,0,0,1
4,1600,4,0,1,0,0,0,1
3,1464,3,2,0,0,0,0,1
3,1866,2,2,0,0,0,0,0
2,700,1,1,0,0,0,0,1
3,1804,3,2,0,0,0,0,1
2,913,2,1,0,0,0,0,1
3,1868,3,2,0,0,0,0,0
2,883,2,1,1,0,0,0,1
2,900,2,1,0,0,1,0,1
3,1664,2,3,0,0,0,0,1
3,2026,3,2,0,0,0,0,1
2,1210,2,1,0,0,0,0,1
4,4111,4,2,0,0,1,0,1
3,1762,3,3,0,0,0,0,1
3,1252,3,3,0,0,0,0,1
2,861,2,1,1,0,0,0,1
3,1420,2,1,1,0,0,0,1
6,1450,6,0,0,0,1,0,1
3,1490,3,1,1,0,0,0,1
3,1075,2,1,0,0,0,0,1
3,1425,2,2,0,0,0,0,0
2,1200,2,1,1,0,0,0,1
3,1280,2,2,0,0,0,0,1
2,1084,2,2,0,0,0,0,1
2,1015,2,2,0,0,0,0,0
2,1017,2,1,0,0,0,0,0
2,1027,2,2,0,0,0,0,1
2,1069,2,2,0,0,0,0,1
2,1349,2,1,0,0,0,0,1
2,1005,2,1,0,0,0,0,1
2,1417,2,3,0,0,0,0,1
3,1475,3,1,0,0,1,0,0
2,950,2,2,0,1,0,0,1
4,2000,4,0,0,0,0,0,1
3,880,3,1,0,0,1,0,1
4,1863,3,2,0,0,0,0,1
2,1010,2,1,0,0,0,0,1
3,1425,2,1,0,0,0,0,1
3,1450,3,0,0,0,0,0,1
3,1847,3,2,0,0,0,0,1
2,1100,2,3,0,0,0,0,1
1,525,1,1,0,0,0,0,0
3,1665,3,2,0,0,0,0,1
4,1664,4,3,0,0,0,0,1
3,1850,3,3,0,0,0,0,1
2,1438,2,3,0,0,0,0,1
3,1560,3,3,0,0,0,0,1
2,1350,2,1,0,0,0,0,0
3,1550,3,3,0,0,0,0,1
2,1140,2,2,0,0,0,0,0
5,1200,5,2,0,0,1,0,1
2,850,2,2,0,0,0,0,0
2,1280,2,2,0,0,0,0,1
2,1170,2,2,1,0,0,0,1
2,1113,2,1,0,0,0,0,1
2,1385,2,1,0,0,0,0,1
2,1128,2,1,0,0,0,0,0
2,1200,2,2,0,0,1,0,1
4,1200,4,3,0,0,1,0,1
3,2390,3,2,0,0,0,0,1
4,2400,4,1,0,0,1,0,1
3,1464,3,2,0,0,0,0,1
2,1200,2,2,0,0,0,0,1
2,1200,2,2,0,0,0,0,1
3,1150,2,1,0,0,0,0,1
3,1645,3,2,1,0,0,0,1
2,1000,2,1,0,0,0,0,0
4,2650,4,2,0,0,1,0,1
2,1192,2,2,0,0,0,0,1
3,2135,3,2,0,0,0,0,1
2,1173,2,1,0,0,0,0,0
2,1020,2,2,1,0,0,0,1
4,3122,6,2,0,0,0,0,1
3,1600,3,3,0,0,0,0,1
2,1200,2,0,0,0,1,0,0
2,1230,2,3,0,1,0,0,1
2,1250,2,2,0,0,0,0,1
2,1325,2,2,0,0,0,0,1
3,1850,3,1,1,0,0,0,1
1,525,2.692510947,1.584375738,0,0,0,0,0
2,1200,2,2,0,0,0,0,1
3,1350,2,0,0,0,1,0,1
3,1260,3,1,0,0,0,0,0
3,1800,3,0,0,0,0,0,1
3,11,3,2,0,0,1,0,0
2,1100,2,1,1,0,0,0,1
2,1508,2,1,0,0,0,0,1
3,1592,3,2,0,1,0,0,1
2,1388,2,3,0,0,0,0,1
1,630,1,1,0,0,0,0,0
3,2000,3,2,0,0,1,0,1
3,1762,3,1,0,0,0,0,1
2,950,2,2,0,0,0,0,0
4,3252,5,3,0,0,0,0,1
2,1116,2,1,0,0,0,0,0
2,1308,2,2,0,0,0,0,1
3,1200,3,0,0,0,0,0,1
4,1500,4,2,0,0,1,0,1
1,500,1,1,1,0,0,0,1
2,1075,2,1,0,0,0,0,1
1,530,1,0,0,0,0,0,0
2,1205,2,3,1,0,0,0,1
2,1075,2,2,0,0,0,0,1
2,930,2,2,1,0,0,0,1
2,1380,2,1,0,0,0,0,1
4,2483,5,2,0,0,0,0,1
2,1166,2,2,1,0,0,0,1
2,1050,2,1,0,0,0,0,1
3,2023.71,3,2,0,0,0,0,0
2,1200,2,2,0,0,0,0,1
3,1600,2,1,0,0,0,0,1
3,1935,3,2,0,0,0,0,1
1,451,1,0,0,0,0,0,0
3,1800,3,2,0,0,0,0,1
3,1400,3,0,0,0,0,0,0
3,1801,3,2,0,0,0,0,1
2,1451,2,1.584375738,1,0,0,0,1
2,1200,1,1,0,0,1,0,0
2,1160,2,2,0,0,0,0,1
2,1000,2,1,1,0,0,0,1
2,950,2,1,0,0,0,0,1
3,1629,3,2,1,0,0,0,0
3,1580,2,0,1,0,0,0,1
3,1826,3,2,0,0,0,0,0
2,1245,2,1,1,0,0,0,1
2,1145,2,2,0,0,0,0,1
2,825,2,1,0,0,0,0,1
3,1693,3,3,0,0,0,0,0
2,1113.27,2,2,0,0,0,0,1
2,1460,2,1,1,0,0,0,1
2,1050,2,1,1,0,0,0,1
2,1260,2,2,1,0,0,0,1
6,700,3,1.584375738,0,0,0,0,1
2,1656,2,1,1,0,0,0,1
3,1208,3,1,0,0,0,0,1
3,1910,3,2,0,0,0,0,1
4,3252,4,1,0,0,0,0,1
2,1200,2,1,0,0,1,0,1
4,1200,4,1,0,0,0,0,1
2,1175,2,1,0,0,0,0,1
2,1000,2,0,0,0,1,0,1
4,1200,2,0,0,0,1,0,1
3,2390,3,2,0,0,0,0,1
7,12000,6,3,0,0,0,0,0
2,550,1,1,0,0,1,0,1
1,370.923994,1,0,0,0,0,0,1
2,1185,2,1.584375738,0,0,0,0,1
2,750,2,1,0,0,0,0,1
6,1200,7,3,0,0,1,0,1
3,1550,3,3,0,0,0,0,1
3,1760,3,2,1,0,0,0,1
2,1125,2,2,0,0,0,0,1
3,1350,3,2,0,0,1,0,1
2,1000,2,1,0,0,1,0,0
2,1090,2,2,1,0,0,0,0
2,1200,2,0,0,0,1,0,1
3,1991,4,2,0,0,0,0,1
2,1060,2,1,0,0,0,0,0
2,1105,2,1,0,0,0,0,1
2,985,2,2,1,0,0,0,1
6,1533,5,3,0,0,1,0,1
3,1590,3,2,0,0,0,0,0
2,1120,2,2,0,0,0,0,1
2,1069,2,1,0,0,0,0,1
3,1933,3,2,0,0,0,0,1
2,1194,2,0,1,0,0,0,0
2,1150,2,3,0,0,0,0,1
2,1240,2,2,0,0,0,0,1
2,1419,2,2,0,0,0,0,1
8,1200,8,1.584375738,0,0,1,0,1
3,2150,4,1.584375738,0,0,0,0,1
3,1450,3,2,0,0,0,0,1
3,1630,3,2,0,0,0,0,0
2,708,1,1,0,0,0,0,1
3,1000,4,3,0,0,1,0,1
4,11890,4,3,0,0,1,0,1
2,1250,2,1,0,0,0,0,1
3,1400,2,1,0,0,0,0,1
3,1670,2,3,0,0,0,0,1
3,1750,3,2,0,0,0,0,1
2,1404,2,1,0,0,0,0,1
3,1715,2,2,0,0,0,0,1
1,630,1,1,1,0,0,0,0
3,1752.12,3,2,0,0,0,0,1
3,1650,3,2,0,0,0,0,1
2,1295,2,1,0,0,0,0,1
3,1800,3,2,0,0,1,0,1
2,1346,2,1,0,0,0,0,0
4,1200,4,2,0,0,1,0,1
2,1150,2,2,0,0,0,0,1
4,3309,4,3,1,0,0,0,1
3,1190,2,2,0,0,0,0,0
3,1620,3,2,0,0,0,0,1
2,950,2,1,0,0,0,0,0
11,5000,9,3,0,0,0,0,1
3,2450,3,0,0,0,0,0,1
3,1220,2,1,0,0,0,0,0
2,850,2,1,0,0,0,0,1
2,1020,2,2,1,0,0,0,1
2,1100,2,2,1,0,0,0,1
2,1150,2,2,0,0,0,0,1
3,1760,2,2,0,0,0,0,0
3,1800,3,3,0,0,0,0,1
2,1070,2,1,0,0,0,0,1
4,1500,4,2,0,0,1,0,1
2,1440,2,0,0,0,1,0,1
2,900,2,1,0,0,0,0,1
4,1200,4,1,1,0,0,0,1
2,1130,2,1,0,0,0,0,0
2,1320,2,1,0,0,0,0,1
2,1270,2,1,0,0,0,0,0
2,1200,2,1,1,0,0,0,1
4,4800,4,1.584375738,0,0,0,0,1
2,1200,2,1,0,0,0,0,1
2,929,2,0,0,0,0,0,1
4,1150,4,2,1,0,0,0,1
4,1125,4,3,0,0,1,0,1
5,500,3,2,0,0,1,0,1
5,1200,5,2,0,0,1,0,1
3,1464,3,2,0,0,0,0,1
4,3600,4,3,0,0,0,0,1
4,2000,4,2,0,0,1,0,1
2,1208,2,1,0,0,0,0,1
2,1130,2,2,0,0,0,0,1
3,1753,3,2,0,0,0,0,1
5,4500,7,3,0,0,0,0,1
3,600,3,2,0,0,1,0,1
2,1196,2,2,0,0,0,0,0
2,1150,3,3,1,0,0,0,1
2,1128,2,1,0,0,0,0,0
2,1000,2,1,0,0,0,0,1
2,1035,2,1,0,0,0,0,1
2,950,2,1,1,0,0,0,1
3,1075,2,1,0,0,0,0,1
2,1040,2,1,0,0,0,0,1
2,720,2,1,0,0,1,0,0
3,1511,3,1,0,0,0,0,1
3,1300,3,1,1,0,0,0,1
3,1545,3,1,0,0,0,0,0
1,375,2,0,1,0,0,0,1
2,1062,2,3,0,0,0,0,1
2,1115,2,1,0,0,0,0,1
2,1000,2,1,0,0,0,0,1
2,883,2,1,0,0,0,0,0
2,1195,2,1,0,0,0,0,0
4,1200,3,1,0,0,1,0,1
1,700,1,0,1,0,0,0,1
2,1246,2,1,0,0,0,0,1
4,660,4,2,0,0,1,0,1
4,8500,4,2,0,0,1,0,1
4,1600,4,1,0,0,0,0,1
4,2805,5,3,0,0,0,0,0
3,1584,3,1.584375738,0,0,0,0,1
4,3000,5,1,0,0,1,0,1
3,1175,2,2,1,0,0,0,1
3,1595,3,2,1,0,0,0,0
2,1353,2,2,0,0,0,0,1
3,1599,3,2,0,0,0,0,0
2,1150,2,1,0,0,0,0,1
4,5230,6,1,0,0,0,0,0
2,1155,2,2,0,0,0,0,1
1,1200,2,0,1,0,0,0,1
2,1000,2,1,0,0,0,0,0
4,3000,4,1.584375738,0,0,0,0,1
3,1867,3,1,1,0,0,0,1
2,1251,2,1,0,0,0,0,0
2,1028,2,1,0,0,0,0,0
2,1222,2,2,0,0,0,0,1
3,1170,2,1,0,0,0,0,1
3,2400,4,1,0,0,0,0,1
3,1385,2,2,0,0,0,0,1
2,1372,2,1,0,0,0,0,1
3,1282,2,2,0,0,0,0,1
9,5000,9,3,0,0,0,0,1
5,3000,3,1,1,0,0,0,1
2,1135,2,1,0,0,0,0,1
3,1768,3,2,1,0,0,0,0
3,1325,2,1,1,0,0,0,1
3,1599,3,2,0,0,0,0,0
3,1500,3,1,0,0,1,0,0
3,2610,3,0,0,0,1,0,1
2,1286,2,2,0,0,0,0,1
5,2845,5,1,1,0,0,0,1
3,1600,2,1.584375738,0,0,0,0,1
2,1317.5,2,0,0,0,0,0,0
3,3450,5,2,0,0,0,0,1
2,1102,2,2,0,0,0,0,0
2,1350,2,2,0,0,0,0,1
3,1200,2,2,0,0,0,0,1
6,1300,6,0,0,0,1,0,1
2,1800,1,1,0,0,1,0,1
2,950,2,1,1,0,0,0,1
1,525,1,1,0,0,0,0,0
2,656,2,1,1,0,0,0,1
4,1780,4,3,0,0,1,0,1
2,1056,2,1,0,0,0,0,1
1,595,1,1,0,0,0,0,0
2,1080,2,2,1,0,0,0,1
3,2225,3,1,0,0,0,0,0
2,1126,2,1,0,0,0,0,0
3,1490,3,1,0,0,0,0,1
4,2000,4,1,0,0,1,0,1
3,1550,3,3,0,0,0,0,1
3,1600,3,2,0,0,0,0,1
2,1160,2,1,1,0,0,0,1
4,4144,4,3,1,0,0,0,1
3,2100,3,2,0,0,0,0,1
2,1404,2,1,0,0,0,0,1
4,2230,4,3,0,0,1,0,1
3,1544,3,1.584375738,0,0,0,0,1
3,1305,2,1,0,0,0,0,0
2,1230,2,2,0,0,0,0,1
2,1200,2,0,0,0,1,0,1
3,1460,3,1,0,0,0,0,1
2.803653311,1800,2.692510947,1.584375738,0,0,1,1,0
2,967,2,3,1,0,0,0,1
1,540,1,1,1,0,0,0,1
1,715,1,2,0,0,0,0,0
3,2500,3,2,0,0,0,0,1
3,1578,3,1,0,0,0,0,1
2,1020,2,1,0,0,0,0,1
2,1020,2,1,0,0,0,0,1
2,1253,2,1,0,0,0,0,1
2,1180,2,2,0,0,0,0,1
2,961,2,2,0,0,0,0,1
3,1419,3,3,1,0,0,0,1
3,1709,3,2,0,0,0,0,1
2,1600,2,0,0,0,1,0,1
1,416,1,1,0,0,0,0,0
2,1100,2,2,0,1,0,0,1
3,1430,2,1,0,0,0,0,1
2,1260,2,2,0,0,0,0,1
3,1630,3,2,1,0,0,0,1
3,1249,3,2,0,0,0,0,0
3,1450,2,3,0,0,0,0,1
3,2791,3,1,0,0,0,0,0
1,600,1,0,0,0,0,0,1
1,834,1,1,1,0,0,0,1
3,1125,4,1,0,0,1,0,1
3,2060,3,2,0,0,0,0,1
7,12000,7,3,0,0,0,0,0
2,891,2,1,1,0,0,0,1
2,1133,2,1,0,0,0,0,1
3,1075,2,1,1,0,0,0,1
4,3000,5,2,0,0,0,0,0
4,2440,5,2,0,0,1,0,1
2,1200,2,2,1,0,0,0,1
2,1075,2,2,0,0,0,0,1
2,1140,2,2,0,0,0,0,1
5,940,4,2,0,0,1,0,1
6,2160,5,1,0,0,1,0,1
2,1090,2,1,0,0,0,0,1
4,1500,4,1,1,0,0,0,1
4,4104,4,2,0,0,0,0,1
3,1790,3,1.584375738,0,0,0,0,1
3,1920,3,2,0,0,0,0,0
2,1374,2,2,1,0,0,0,1
3,1445,3,2,0,1,0,0,1
1,711,1,1,0,0,0,0,0
3,1500,3,3,0,0,0,0,1
3,1720,3,3,0,0,0,0,1
3,1400,3,2,0,0,0,0,1
2,1030,2,2,1,0,0,0,1
2,1200,2,1,0,0,0,0,1
3,1375,3,2,0,1,0,0,0
2,1050,1,1.584375738,0,0,1,0,1
3,2250,3,2,0,0,0,0,1
2,1000,2,2,0,0,0,0,1
1,469,1,0,0,0,0,0,1
4,3800,4,3,0,0,0,0,1
2,883,2,1,0,0,0,0,1
3,1820,2,3,0,0,0,0,1
3,1440,2,3,1,0,0,0,1
6,3600,4,1,0,0,0,0,1
4,2500,5,2,1,0,0,0,1
2,1225,2,2,0,0,0,0,0
3,4000,3,1,0,0,1,0,1
2,875,2,3,0,1,0,0,1
1,750,1,2,0,0,0,0,1
2,1180,2,3,0,0,0,0,1
2,1194,2,2,0,0,0,0,1
3,1500,2,2,0,0,0,0,1
2,1160,2,2,0,0,0,0,1
9,1123031.25,9,1.584375738,1,0,0,0,1
3,2378,3,1,0,0,0,0,1
2,1128,2,1,0,0,0,0,1
3,1500,3,1,0,0,0,0,1
3,1220,2,1,1,0,0,0,0
2,1210,2,2,0,0,0,0,1
3,1100,2,1,0,0,0,0,0
3,1200,3,2,0,0,0,0,1
4,3385,5,1.584375738,1,0,0,0,0
3,1641,3,2,0,0,0,0,1
2,1200,2,1,0,0,0,0,1
2,1260,2,1,0,0,0,0,1
3,1720,3,3,0,0,0,0,1
2,1132.5,2,0,0,0,0,0,1
2,1210,2,1,0,0,0,0,1
4,2200,4,2,1,0,0,0,1
3,1075,2,1,0,0,0,0,1
3,1702,3,2,1,0,0,0,1
2,1630,2,2,0,0,0,0,1
2,1141,2,2,0,0,0,0,1
3,2072,3,2,0,0,0,0,0
5,5520,2.692510947,1.584375738,0,0,0,0,0
3,1200,2,0,1,0,0,0,1
3,1350,3,0,0,0,0,0,1
4,4046,4,0,1,0,0,0,0
3,1180,2,2,0,0,0,0,0
3,35000,3,3,1,0,0,0,1
2,1355,2,2,0,0,0,0,1
1,600,1,0,0,0,1,0,1
7,1200,7,1.584375738,0,0,1,0,1
3,1640,2,1,0,0,0,0,1
5,1200,5,0,0,0,1,0,1
3,1190,2,2,0,0,0,0,1
4,2400,4,2,0,0,1,0,1
2,1019,2,2,0,0,0,0,1
3,1875,3,2,0,0,0,0,1
3,1250,3,2,0,0,0,0,0
3,1200,3,2,0,0,1,0,1
2,1140,2,1,0,0,0,0,1
3,1683,3,1,0,0,0,0,1
3,1515,3,1.584375738,0,0,0,0,1
4,2118,4,2,0,0,0,0,0
4,1380,3,0,1,0,0,0,1
2,1083,2,2,0,0,0,0,1
2,600,2,1,0,0,1,0,1
3,2300,3,3,1,0,0,0,1
2,1240,2,2,0,0,0,0,1
3,1750,3,1,0,0,0,0,1
2,1230,2,1.584375738,0,0,0,0,0
3,1500,3,1,0,0,1,0,0
2,985,2,1,0,0,0,0,1
3,1500,2,1,0,0,1,0,1
2,1125,2,1,1,0,0,0,0
2,950,2,1,1,0,0,0,1
5,5600,2.692510947,1.584375738,0,0,0,0,0
3,1580,3,3,0,0,0,0,1
3,1092,2,1,0,0,1,0,1
2,1090,2,1,1,0,0,0,0
3,2264,3,1,1,0,0,0,0
3,1033,2,2,0,0,0,0,0
2,810,2,2,0,0,0,0,0
2,1045,2,0,0,0,0,0,1
2,1337,2,1,0,0,0,0,0
2,1200,2,2,0,0,0,0,1
3,1580,3,2,0,0,0,0,1
3,1500,2,3,0,0,0,0,1
3,1640,4,2,0,0,0,0,0
3,1570,3,2,0,0,0,0,1
3,1470,2,2,0,0,0,0,1
2,1160,2,2,0,0,0,0,1
2,1050,2,1,1,0,0,0,1
3,1855,3,1,0,0,0,0,0
3,1460,2,1,0,0,0,0,1
3,1823,3,2,1,0,0,0,1
2,1094,2,2,0,0,0,0,1
2,1153,2,2,0,0,0,0,1
3,1325,3,1,1,0,0,0,1
4,1200,3,2,0,0,1,0,1
3,1590,2,2,1,0,0,0,1
